DateTime,AddedIPs,RemovedIPs
1453927462,50,50
1454727607,50,50
1454739127,47,47
1454827207,45,45
1454911936,46,46
1455000492,45,45
1455086656,48,48
1455171618,48,48
1455260419,47,47
1455345372,46,46
1455433690,46,46
1455518408,42,42
1455606736,46,46
1455691447,47,47
1455779783,46,46
1455864502,47,47
1455948977,49,49
1456038033,46,46
1456122775,46,46
1456211290,45,45
1456296261,44,44
1456382664,47,47
1456469290,49,49
1456556417,47,47
1456691287,49,49
1456764740,48,48
1456853550,49,49
1456938740,43,43
1457025134,43,43
1457112261,45,45
1457196734,49,49
1457285053,47,47
1457371473,48,48
1457458810,50,50
1457547855,47,47
1457632329,49,49
1457721673,50,50
1457808020,47,47
1457895379,46,46
1457982057,48,48
1458070569,47,47
1458155536,50,50
1458240038,50,50
1458328594,50,50
1458415210,50,50
1458499701,45,45
1458588738,46,46
1458672742,47,47
1458761553,48,48
1458846743,47,47
1458931955,47,47
1459020742,46,46
1459105224,47,47
1459194029,50,50
1459278995,50,50
1459363947,45,45
1459450101,46,46
1459539146,46,46
1459624824,43,43
1459709798,43,43
1459798828,43,43
1459884747,41,41
1459969939,41,41
1460058738,40,40
1460142264,48,48
1460231780,48,48
1460318198,47,47
1460401474,47,47
1460492901,48,48
1460574050,48,48
1460663782,49,49
1460749455,44,44
1460834906,43,43
1460920574,42,42
1461007710,49,49
1461092918,46,46
1461179055,43,43
1461265480,47,47
1461353295,47,47
1461441623,45,45
1461526099,44,44
1461614895,42,42
1461699847,45,45
1461786497,46,46
1461875297,47,47
1461959781,44,44
1462045934,43,43
1462134499,43,43
1462220856,48,48
1462307302,47,47
1462391775,44,44
1462480097,43,43
1462564573,44,44
1462653131,42,42
1462737613,46,46
1462825941,44,44
1462910438,43,43
1462995859,43,43
1463084655,46,46
1463169641,43,43
1463259628,46,46
1463344582,44,44
1463433136,42,42
1463521689,46,46
1463606655,46,46
1463695224,45,45
1463779698,46,46
1463866825,45,45
1463951539,42,42
1464038171,44,44
1464127221,46,46
1464213853,45,45
1464298345,47,47
1464386891,46,46
1464472096,44,44
1464556809,43,43
1464645142,47,47
1464729611,44,44
1464817933,42,42
1464902658,44,44
1464990979,45,45
1465075698,46,46
1465164253,40,40
1465300572,46,46
1465339214,49,49
1465423695,47,47
1465511553,48,48
1465596017,48,48
1465684579,47,47
1465770975,46,46
1465857867,48,48
1465942585,44,44
1466031138,46,46
1466116099,46,46
1466201089,45,45
1466289856,42,42
1466374337,38,38
1466462896,39,39
1466547373,42,42
1466635697,46,46
1466720179,42,42
1466808499,41,41
1466893219,42,42
1466981532,46,46
1467066502,47,47
1467151468,49,49
1467239773,47,47
1467324268,48,48
1467411400,46,46
1467672267,48,48
1467757213,48,48
1467841939,42,42
1467930754,42,42
1468015457,44,44
1468102583,46,46
1468191141,43,43
1468277533,44,44
1468362255,46,46
1468447695,48,48
1468536254,48,48
1468620977,47,47
1468709551,46,46
1468796431,44,44
1468882829,46,46
1468967299,50,50
1469052086,44,44
1469140344,47,47
1469224838,44,44
1469311239,45,45
1469397863,45,45
1469486176,42,42
1469570893,44,44
1469659217,47,47
1469743696,46,46
1469832009,45,45
1469916494,47,47
1470004812,45,45
1470091211,48,48
1470177852,48,48
1470262373,48,48
1470350660,50,50
1470435131,48,48
1470523453,43,43
1470607941,46,46
1470694573,47,47
1470782905,49,49
1470867232,46,46
1470955694,46,46
1471040424,47,47
1471128752,41,41
1471213233,46,46
1471301534,45,45
1471386030,46,46
1471474341,45,45
1471559056,42,42
1471648097,42,42
1471732811,42,42
1471817581,45,45
1471906341,43,43
1471992986,46,46
1472077711,44,44
1472166079,45,45
1472250734,46,46
1472337395,48,48
1472426418,46,46
1472510901,45,45
1472595614,47,47
1472683942,47,47
1472768901,44,44
1472857943,44,44
1472942410,47,47
1473031216,44,44
1473114019,49,49
1473202346,46,46
1473286819,46,46
1473375378,45,45
1473459859,47,47
1473548180,46,46
1473633146,46,46
1473719548,47,47
1473808106,46,46
1473893056,46,46
1473981620,48,48
1474066577,47,47
1474151293,49,49
1474239650,46,46
1474324101,45,45
1474412459,43,43
1474497141,43,43
1474585940,44,44
1474676431,48,48
1474765006,47,47
1474849456,48,48
1474936816,46,46
1475021296,44,44
1475109616,46,46
1475194811,44,44
1475279805,44,44
1475368343,45,45
1475453061,40,40
1475539459,44,44
1475627779,47,47
1475714656,44,44
1475801057,40,40
1475886088,48,48
1475974573,46,46
1476059308,44,44
1476144492,47,47
1476233055,43,43
1476317540,43,43
1476403944,42,42
1476492494,39,39
1476579151,44,44
1476663622,45,45
1476751941,46,46
1476836415,43,43
1476922809,44,44
1477009451,44,44
1477097775,46,46
1477182499,42,42
1477269140,44,44
1477357455,43,43
1477441935,48,48
1477530496,46,46
1477614970,46,46
1477703355,46,46
1477789946,46,46
1477873229,45,45
1477971146,45,45
1478047979,45,45
1478132656,43,43
1478221295,46,46
1478308345,47,47
1478392832,44,44
1478481380,45,45
1478566094,47,47
1478650573,45,45
1478739146,46,46
1478825769,43,43
1478910752,41,41
1478999001,47,47
1479083619,48,48
1479172109,47,47
1479257781,50,50
1479342506,47,47
1479430866,47,47
