DateTime,Entries,UniqueIPs
1478914214,4189,4189
1478915113,4186,4186
1478916311,4185,4185
1478917217,4187,4187
1478918114,4172,4172
1478918533,4167,4167
1478920451,4166,4166
1478921290,4170,4170
1478922313,4161,4161
1478924413,4163,4163
1478925503,4159,4159
1478927111,4160,4160
1478927649,4163,4163
1478928619,4159,4159
1478929515,4169,4169
1478931613,4189,4189
1478932088,4201,4201
1478933118,4194,4194
1478935214,4213,4213
1478935688,4230,4230
1478936711,4218,4218
1478937912,4226,4226
1478938782,4248,4248
1478940018,4241,4241
1478940908,4262,4262
1478941813,4274,4274
1478943736,4293,4293
1478944573,4310,4310
1478945414,4320,4320
1478946613,4329,4329
1478947486,4338,4338
1478948489,4348,4348
1478949706,4376,4376
1478950814,4362,4362
1478951663,4385,4385
1478952613,4373,4373
1478953814,4357,4357
1478954715,4363,4363
1478955532,4352,4352
1478956368,4369,4369
1478958136,4360,4360
1478960112,4368,4368
1478961016,4349,4349
1478961911,4353,4353
1478962569,4379,4379
1478963412,4372,4372
1478964489,4399,4399
1478965515,4377,4377
1478966713,4380,4380
1478967616,4407,4407
1478968089,4423,4423
1478969113,4385,4385
1478970849,4395,4395
1478971820,4231,4231
1478972728,4175,4175
1478975709,4109,4109
1478976137,4102,4102
1478976999,4126,4126
1478977814,4110,4110
1478978890,4130,4130
1478980763,4080,4080
1478981713,4090,4090
1478982612,4065,4065
1478985427,4075,4075
1478986514,4068,4068
1478988613,4068,4068
1478990111,4057,4057
1478991913,4054,4054
1478992453,4058,4058
1478993415,4054,4054
1478994310,4052,4052
1478995104,4046,4046
1478996112,4050,4050
1478997013,4049,4049
1478997914,4052,4052
1478999113,4052,4052
1478999653,4055,4055
1479000493,4059,4059
1479001334,4050,4050
1479003311,4046,4046
1479004817,4044,4044
1479005708,4046,4046
1479006615,4044,4044
1479007472,4049,4049
1479009271,4035,4035
1479012137,4019,4019
1479012973,4028,4028
1479013810,4023,4023
1479014888,4046,4046
1479015949,4025,4025
1479017113,4031,4031
1479018016,4049,4049
1479018910,4032,4032
1479019337,4036,4036
1479020536,4041,4041
1479021616,4054,4054
1479022813,4042,4042
1479024313,4050,4050
1479024848,4062,4062
1479025817,4053,4053
1479026541,4070,4070
1479027373,4096,4096
1479028206,4095,4095
1479029106,4121,4121
1479030142,4102,4102
1479031512,4118,4118
1479032416,4139,4139
1479033623,4119,4119
1479036020,4159,4159
1479036913,4130,4130
1479037340,4127,4127
1479038220,4154,4154
1479039312,4155,4155
1479040216,4154,4154
1479040942,4160,4160
1479042311,4157,4157
1479043220,4188,4188
1479044541,4155,4155
1479045373,4178,4178
1479046215,4167,4167
1479048142,4165,4165
1479049509,4156,4156
1479050414,4179,4179
1479051743,4171,4171
1479052572,4404,4404
1479053415,4439,4439
1479054308,4463,4463
1479055213,4436,4436
1479055337,4441,4441
1479056222,4459,4459
1479057251,4452,4452
1479058215,4440,4440
1479059120,4444,4444
1479061216,4446,4446
1479062108,4429,4429
1479065289,4497,4497
1479066315,4464,4464
1479067454,4448,4448
1479068415,4459,4459
1479069309,4449,4449
1479069743,4446,4446
1479071649,4447,4447
1479072619,4435,4435
1479073511,4448,4448
1479074317,4448,4448
1479075312,4453,4453
1479076213,4446,4446
1479077436,4455,4455
1479078911,4459,4459
1479080535,4454,4454
1479081914,4456,4456
1479082813,4458,4458
1479083708,4448,4448
1479084588,4449,4449
1479085510,4445,4445
1479087615,4442,4442
1479089713,4443,4443
1479090617,4433,4433
1479091461,4432,4432
1479092307,4428,4428
