DateTime,Entries,UniqueIPs
1478421862,3917,4007
1478423806,3923,4014
1478425705,3927,4018
1478427616,3934,4025
1478429550,3933,4024
1478431466,3936,4025
1478433380,3924,4013
1478435309,3935,4024
1478437275,3932,4021
1478439150,3935,4024
1478441093,3943,4035
1478442993,3963,4055
1478444910,3963,4055
1478446826,3964,4058
1478449015,3949,4043
1478450908,3964,4059
1478452837,3945,4039
1478454755,3960,4054
1478456672,3956,4050
1478458594,3960,4054
1478460517,3968,4065
1478462490,3984,4082
1478464357,3992,4090
1478466270,4011,4109
1478468188,4027,4124
1478470099,4039,4136
1478472027,4043,4140
1478473949,4053,4153
1478475858,4049,4148
1478477784,4060,4159
1478479706,4070,4171
1478481618,4076,4177
1478483637,4071,4171
1478485452,4085,4185
1478487389,4080,4179
1478489311,4089,4188
1478491265,4095,4192
1478493158,4110,4208
1478495065,4113,4211
1478496987,4127,4226
1478498922,4127,4227
1478500823,4136,4235
1478502767,4134,4233
1478504655,4145,4245
1478506596,4142,4242
1478508506,4156,4256
1478510348,4171,4270
1478512341,4160,4258
1478514261,4172,4270
1478516185,4174,4272
1478518097,4173,4271
1478520068,4173,4270
1478521940,4171,4268
1478523852,4170,4267
1478525814,4166,4263
1478527694,4165,4262
1478529876,4175,4270
1478532053,4164,4260
1478533954,4177,4273
1478535852,4168,4264
1478537777,4159,4255
1478539705,4153,4250
1478541686,4146,4242
1478543544,4131,4227
1478545457,4138,4234
1478547392,4135,4230
1478549311,4141,4236
1478551230,4139,4232
1478553152,4137,4229
1478555063,4145,4237
1478556998,4128,4221
1478558910,4133,4226
1478560821,4137,4230
1478562755,4128,4220
1478564653,4132,4224
1478566575,4118,4210
1478568502,4117,4210
1478570464,4110,4203
1478572394,4105,4197
1478574268,4100,4192
1478576198,4104,4195
1478578105,4105,4196
1478580028,4097,4187
1478581943,4104,4194
1478583851,4108,4198
1478585782,4101,4192
1478587701,4121,4212
1478589629,4126,4218
1478591573,4123,4215
1478593450,4142,4233
1478595377,4123,4214
1478597302,4130,4222
1478599273,4134,4226
1478601142,4136,4228
1478603064,4137,4229
1478605004,4137,4230
1478606914,4137,4230
1478608830,4140,4233
1478610758,4148,4241
1478612655,4158,4252
1478614594,4169,4262
1478616503,4172,4265
1478618427,4177,4271
1478620374,4175,4269
1478622265,4180,4277
1478624180,4166,4262
1478626101,4174,4270
1478628077,4172,4268
1478629947,4168,4264
1478631866,4164,4260
1478633791,4167,4263
1478635721,4165,4261
1478637622,4156,4251
1478639554,4153,4246
1478641452,4157,4250
1478643387,4151,4244
1478645311,4161,4255
1478647256,4161,4254
1478649167,4149,4242
1478651051,4155,4249
1478652987,4147,4241
1478654901,4160,4254
1478656881,4165,4259
1478658749,4174,4269
1478660919,4173,4268
1478662820,4187,4282
1478664784,4178,4273
1478666658,4198,4293
1478668583,4199,4295
1478670506,4181,4277
1478672423,4191,4288
1478674342,4194,4291
1478676251,4204,4301
1478678186,4188,4281
1478680110,4182,4275
1478682088,4193,4286
1478683950,4199,4292
1478686145,4195,4287
1478688034,4195,4287
1478689975,4196,4289
1478691857,4202,4295
1478693785,4200,4293
1478695710,4192,4285
1478697619,4196,4289
1478699542,4197,4290
1478701452,4178,4272
1478703680,4171,4265
1478705561,4168,4261
1478707480,4167,4260
1478709386,4159,4252
1478711310,4156,4249
1478713479,4163,4255
1478715434,4160,4252
1478717314,4165,4257
1478719240,4144,4236
1478721163,4120,4212
1478723075,4123,4214
1478724980,4118,4209
1478726909,4107,4196
1478728885,4105,4194
1478730749,4099,4188
1478732667,4101,4190
1478734594,4098,4186
1478736765,4089,4176
1478738659,4104,4191
1478740592,4095,4182
1478742525,4086,4174
1478744429,4086,4174
1478746607,4066,4154
1478748514,4060,4146
1478750464,4064,4150
1478752348,4050,4136
1478754267,4050,4136
1478756207,4046,4132
1478758112,4037,4124
1478760034,4040,4127
1478761948,4043,4130
1478763849,4066,4153
1478766050,4053,4139
1478767958,4035,4121
1478769863,4046,4131
1478771781,4046,4130
1478773702,4050,4134
1478775705,4057,4141
1478777561,4055,4138
1478779479,4056,4140
1478781391,4061,4145
1478783304,4058,4142
1478785230,4054,4137
1478787168,4028,4110
1478789219,4021,4102
1478791227,4015,4096
1478793153,4007,4089
1478795048,4011,4092
1478796971,4010,4091
1478798893,4003,4083
1478800863,4001,4082
1478802739,3993,4073
1478804652,3986,4066
1478806586,3986,4066
1478808499,3982,4062
1478810418,3976,4056
1478812336,3984,4064
1478814488,3995,4075
1478816428,3988,4067
1478818355,3975,4054
1478820256,3977,4056
1478822195,3966,4044
1478824097,3966,4044
1478826072,3954,4032
1478827946,3962,4040
1478829863,3970,4048
1478831783,3978,4056
1478833711,3982,4060
1478835624,3989,4067
1478837545,4001,4079
1478839446,4012,4090
1478841637,4017,4096
1478843553,4023,4102
1478845459,4048,4127
1478847388,4061,4140
1478849312,4083,4162
1478851269,4094,4173
1478853146,4111,4190
1478856992,4117,4196
1478858910,4126,4205
1478860841,4133,4212
1478862752,4137,4217
1478864660,4143,4224
1478866580,4146,4227
1478868504,4148,4229
1478870427,4157,4238
1478872347,4162,4243
1478874260,4182,4265
1478876183,4189,4272
1478878099,4206,4289
1478880072,4209,4294
1478881935,4220,4305
1478884118,4227,4312
1478886020,4234,4320
1478887947,4252,4338
1478889859,4264,4350
1478891784,4284,4371
1478893710,4297,4384
1478895630,4310,4398
1478897561,4326,4414
1478899459,4341,4430
1478901635,4364,4453
1478903536,4373,4462
1478905460,4365,4453
1478907406,4373,4461
1478909304,4383,4471
1478911219,4388,4475
1478913143,4389,4476
1478915047,4392,4479
1478916974,4386,4473
1478918902,4383,4470
1478920835,4386,4473
1478922758,4389,4477
1478924657,4388,4476
1478926584,4382,4470
1478928503,4375,4463
1478930462,4374,4461
1478932338,4379,4465
1478934266,4380,4466
1478936195,4377,4462
1478938131,4377,4463
1478940028,4379,4466
1478941955,4367,4455
1478943874,4358,4446
1478946033,4349,4438
1478947952,4349,4438
1478949859,4358,4447
1478951805,4371,4460
1478953703,4382,4471
1478955679,4387,4476
1478957543,4382,4471
1478959713,4377,4465
1478961640,4380,4468
1478963556,4378,4467
1478965461,4380,4470
1478967389,4393,4483
1478969313,4401,4490
1478971227,4397,4486
1478973149,4397,4486
1478975059,4389,4477
1478976993,4394,4482
1478978897,4396,4484
1478980874,4395,4484
1478982746,4399,4488
1478984664,4391,4482
1478986586,4386,4477
1478988783,4388,4480
1478990656,4396,4488
1478992582,4392,4483
1478994506,4401,4492
1478996427,4403,4493
1478998384,4404,4494
1479000264,4420,4511
1479002187,4420,4507
1479004126,4416,4504
1479006061,4419,4506
1479007936,4418,4505
1479009855,4417,4504
1479012029,4409,4496
1479013954,4403,4488
1479015855,4403,4488
1479017783,4395,4478
1479019703,4397,4480
1479021627,4411,4494
1479023540,4401,4484
1479025449,4401,4484
1479027374,4403,4485
1479029294,4395,4476
1479031271,4395,4475
1479033150,4384,4463
1479035321,4387,4466
1479037228,4392,4471
1479039402,4396,4475
1479041306,4401,4479
1479043232,4396,4474
1479045156,4400,4478
1479047055,4398,4475
1479048978,4392,4468
1479050901,4403,4481
1479052882,4408,4485
1479054743,4405,4483
1479056918,4409,4487
1479058828,4412,4490
1479060748,4414,4492
1479062656,4418,4497
1479064596,4427,4508
1479066500,4425,4506
1479068432,4427,4508
1479070359,4433,4514
1479072253,4428,4509
1479074209,4426,4506
1479076103,4414,4493
1479078073,4419,4498
1479079935,4419,4495
1479081857,4421,4498
1479084052,4433,4511
1479086206,4430,4510
1479088103,4431,4513
1479090032,4445,4531
1479091949,4434,4520
