DateTime,Entries,UniqueIPs
1478917921,34901,35797
1478918521,34903,35797
1478919122,34908,35802
1478919363,34904,35798
1478919722,34905,35799
1478920321,34894,35788
1478920922,34883,35777
1478921521,34885,35779
1478922123,34888,35781
1478922722,34896,35789
1478922963,34895,35788
1478923321,34903,35795
1478924522,34899,35791
1478925122,34894,35785
1478925721,34884,35775
1478926563,34885,35776
1478926922,34869,35760
1478928121,34849,35739
1478928722,34846,35736
1478929322,34848,35738
1478929921,34849,35733
1478930162,34853,35737
1478930521,34854,35738
1478931121,34856,35740
1478931722,34855,35739
1478932322,34854,35738
1478932922,34835,35719
1478933522,34837,35721
1478933762,34834,35718
1478934122,34838,35722
1478934721,34839,35723
1478935322,34828,35711
1478936521,34813,35696
1478937122,34817,35700
1478937363,34813,35696
1478937722,34810,35693
1478938922,34806,35689
1478939521,34804,35687
1478940721,34802,35685
1478940963,34802,35685
1478941321,34795,35677
1478941922,34801,35683
1478942522,34792,35675
1478943122,34793,35676
1478943721,34783,35666
1478944322,34786,35669
1478944562,34787,35670
1478944922,34785,35668
1478945522,34783,35665
1478946122,34780,35663
1478947322,34779,35662
1478948163,34783,35667
1478948522,34769,35651
1478949121,34774,35657
1478949722,34772,35655
1478950922,34805,35688
1478951521,34785,35668
1478952122,34783,35666
1478952722,34768,35652
1478953321,34768,35651
1478953921,34770,35654
1478953981,34773,35657
1478954521,34776,35660
1478955363,34775,35659
1478955721,34776,35661
1478956321,34775,35660
1478956921,34776,35661
1478957581,34775,35660
1478958123,34743,35626
1478958722,34744,35627
1478958963,34737,35620
1478959322,34733,35616
1478959921,34734,35617
1478960522,34717,35599
1478961122,34732,35614
1478961182,34715,35597
1478961721,34714,35596
1478962562,34712,35594
1478962922,34716,35598
1478963522,34714,35593
1478964121,34715,35594
1478964722,34723,35602
1478965321,34732,35610
1478965921,34735,35613
1478966162,34738,35616
1478966522,34731,35609
1478967122,34732,35610
1478967722,34732,35610
1478968321,34746,35624
1478968921,34738,35615
1478969522,34729,35606
1478969762,34748,35625
1478970122,34745,35622
1478970721,34749,35626
1478971321,34747,35624
1478971922,34748,35625
1478972522,34751,35628
1478973363,34752,35629
1478973722,34754,35632
1478974322,34756,35634
1478974429,34756,35634
1478974921,34745,35623
1478975521,34751,35629
1478975581,34756,35634
1478976721,34759,35637
1478976962,34757,35635
1478977321,34796,35675
1478977921,34799,35678
1478978522,34801,35680
1478979121,34792,35665
1478979181,34791,35664
1478979722,34789,35662
1478980562,34795,35667
1478980922,34806,35678
1478981522,34808,35679
1478982122,34813,35684
1478982721,34820,35691
1478983321,34821,35692
1478983922,34822,35693
1478984163,34825,35696
1478984522,34815,35684
1478985122,34816,35685
1478985721,34818,35687
1478986922,34819,35688
1478987762,34820,35689
1478988122,34799,35667
1478988721,34805,35673
1478989321,34810,35678
1478989922,34811,35679
1478990522,34814,35682
1478991122,34810,35679
1478991363,34820,35689
1478991721,34818,35687
1478992921,34818,35687
1478993522,34816,35686
1478994122,34815,35685
1478994721,34817,35687
1478994963,34823,35693
1478995322,34808,35678
1478995921,34811,35681
1478996521,34812,35682
1478997121,34803,35672
1478997181,34803,35673
1478997722,34786,35650
1478998323,34788,35652
1478998922,34793,35657
1478999521,34803,35669
1479000122,34799,35665
1479000722,34802,35669
1479001322,34804,35671
1479001922,34806,35674
1479002163,34809,35677
1479002521,34806,35674
1479003121,34795,35661
1479003721,34792,35657
1479004322,34791,35656
1479004381,34788,35653
1479004921,34793,35658
1479005522,34807,35672
1479005762,34810,35675
1479006122,34817,35681
1479006722,34800,35664
1479007922,34797,35660
1479008522,34791,35653
1479009122,34796,35658
1479009363,34797,35659
1479009722,34801,35663
1479010322,34791,35653
1479010923,34790,35658
1479011522,34792,35660
1479012121,34796,35664
1479012722,34799,35667
1479013321,34799,35667
1479013922,34802,35670
1479014521,34809,35676
1479015122,34796,35663
1479015722,34798,35665
1479016322,34798,35665
1479016921,34799,35668
1479017521,34801,35670
1479018122,34811,35682
1479018781,34806,35676
1479019321,34805,35675
1479020162,34809,35679
1479020522,34795,35665
1479021122,34787,35657
1479021721,34785,35655
1479022922,34765,35633
1479023521,34766,35634
1479023763,34774,35643
1479024122,34776,35645
1479024722,34776,35645
1479025322,34779,35648
1479025921,34778,35647
1479026521,34776,35645
1479027122,34775,35644
1479027363,34771,35640
1479027721,34771,35640
1479028921,34745,35613
1479029522,34748,35616
1479030121,34749,35617
1479030963,34747,35615
1479031321,34725,35591
1479031922,34725,35590
1479032522,34689,35552
1479033721,34683,35545
1479034321,34668,35530
1479034563,34672,35534
1479034922,34664,35523
1479036121,34666,35525
1479037322,34647,35506
1479037921,34636,35495
1479038163,34644,35503
1479038522,34646,35506
1479039122,34643,35503
1479039721,34644,35504
1479040321,34638,35498
1479040922,34639,35499
1479041762,34635,35496
1479042122,34637,35498
1479043322,34635,35495
1479043981,34642,35503
1479044522,34638,35498
1479045122,34628,35488
1479045721,34608,35466
1479046321,34614,35472
1479046921,34615,35473
1479047521,34618,35476
1479048122,34612,35469
1479049321,34606,35463
1479050522,34599,35457
1479051122,34601,35459
1479051722,34594,35451
1479052321,34597,35454
1479052921,34588,35445
1479053521,34590,35447
1479054121,34556,35412
1479054722,34557,35413
1479054781,34566,35422
1479055321,34562,35418
1479055921,34559,35414
1479056522,34552,35406
1479057122,34540,35393
1479057722,34520,35372
1479058922,34522,35374
1479059522,34519,35371
1479060122,34516,35368
1479060722,34520,35372
1479061321,34509,35360
1479062521,34471,35322
1479064321,34468,35319
1479064921,34467,35317
1479065522,34498,35350
1479066122,34500,35352
1479066721,34492,35343
1479067322,34484,35335
1479067922,34469,35321
1479068521,34468,35320
1479069122,34470,35322
1479069181,34468,35320
1479069721,34456,35308
1479070321,34457,35309
1479070921,34458,35310
1479071522,34463,35315
1479072122,34454,35305
1479072722,34455,35306
1479073322,34430,35280
1479073921,34432,35282
1479074522,34431,35280
1479075122,34433,35282
1479075721,34430,35279
1479076322,34430,35279
1479076921,34433,35282
1479078121,34406,35254
1479078721,34404,35252
1479079321,34410,35258
1479080522,34408,35256
1479081122,34404,35252
1479081722,34391,35239
1479082323,34391,35239
1479082921,34388,35236
1479083522,34389,35237
1479084121,34381,35229
1479084721,34370,35217
1479085332,34369,35216
1479085922,34368,35215
1479086527,34369,35216
1479087121,34364,35211
1479087722,34366,35213
1479088322,34360,35200
1479088921,34364,35204
1479089522,34363,35203
1479090122,34358,35197
1479091322,34357,35196
1479091921,34338,35175
1479092521,34339,35176
1479093121,34327,35164
1479093722,34322,35157
1479094322,34306,35139
1479095522,34282,35114
1479096722,34279,35111
1479097921,34276,35108
1479098522,34296,35127
1479099121,34293,35130
1479099721,34294,35131
1479100322,34279,35114
1479100921,34270,35104
1479102122,34264,35098
1479103322,34253,35088
1479104521,34256,35091
1479105122,34242,35076
1479105722,34242,35076
1479106321,34240,35074
1479107522,34239,35073
1479108141,34231,35065
1479108782,34232,35066
1479109321,34228,35062
1479109873,34228,35063
1479110522,34215,35050
1479111122,34209,35043
1479112922,34197,35031
1479113522,34198,35032
1479114122,34203,35037
1479114721,34198,35032
1479115321,34199,35033
1479116521,34204,35038
1479117121,34203,35038
1479117721,34195,35028
1479118322,34188,35020
1479118922,34190,35022
1479119522,34191,35023
1479120121,34195,35027
1479120722,34192,35024
1479121322,34194,35026
1479121922,34194,35026
1479122521,34188,35020
1479123122,34187,35019
1479123722,34188,35020
1479124322,34169,34999
1479124922,34171,35001
1479125521,34174,35003
1479126121,34167,34996
1479126722,34166,34995
1479127321,34167,34997
1479127922,34169,34999
1479128522,34170,35000
1479129121,34172,35002
1479129722,34152,34981
1479130923,34152,34981
1479131522,34156,34985
1479132121,34157,34986
1479132721,34137,34965
1479133321,34132,34960
1479133922,34135,34963
1479134522,34139,34967
1479135122,34139,34967
1479135722,34130,34958
